211 100 000 => valid, type: MOBILE, FAILED
211 400 000 => valid, type: MOBILE, FAILED
211 500 000 => valid, type: MOBILE, FAILED
212 000 000 => valid, type: MOBILE, FAILED
212 100 000 => valid, type: MOBILE, FAILED
212 200 000 => valid, type: MOBILE, FAILED
212 300 000 => valid, type: MOBILE, FAILED
212 400 000 => valid, type: MOBILE, FAILED
640 000 000 => valid, type: PAGER, FAILED
640 100 000 => valid, type: PAGER, FAILED
640 200 000 => valid, type: PAGER, FAILED
640 300 000 => valid, type: PAGER, FAILED
640 400 000 => valid, type: PAGER, FAILED
640 500 000 => valid, type: PAGER, FAILED
640 600 000 => valid, type: PAGER, FAILED
640 700 000 => valid, type: PAGER, FAILED
640 800 000 => valid, type: PAGER, FAILED
640 900 000 => valid, type: PAGER, FAILED
641 000 000 => valid, type: PAGER, FAILED
641 100 000 => valid, type: PAGER, FAILED
641 200 000 => valid, type: PAGER, FAILED
641 300 000 => valid, type: PAGER, FAILED
641 400 000 => valid, type: PAGER, FAILED
641 500 000 => valid, type: PAGER, FAILED
641 600 000 => valid, type: PAGER, FAILED
641 700 000 => valid, type: PAGER, FAILED
641 800 000 => valid, type: PAGER, FAILED
641 900 000 => valid, type: PAGER, FAILED
642 000 000 => valid, type: PAGER, FAILED
642 100 000 => valid, type: PAGER, FAILED
642 200 000 => valid, type: PAGER, FAILED
642 300 000 => valid, type: PAGER, FAILED
642 400 000 => valid, type: PAGER, FAILED
642 500 000 => valid, type: PAGER, FAILED
642 600 000 => valid, type: PAGER, FAILED
642 700 000 => valid, type: PAGER, FAILED
642 800 000 => valid, type: PAGER, FAILED
642 900 000 => valid, type: PAGER, FAILED
643 000 000 => valid, type: PAGER, FAILED
643 100 000 => valid, type: PAGER, FAILED
643 200 000 => valid, type: PAGER, FAILED
643 300 000 => valid, type: PAGER, FAILED
643 400 000 => valid, type: PAGER, FAILED
643 500 000 => valid, type: PAGER, FAILED
643 600 000 => valid, type: PAGER, FAILED
643 700 000 => valid, type: PAGER, FAILED
643 800 000 => valid, type: PAGER, FAILED
643 900 000 => valid, type: PAGER, FAILED
644 000 000 => valid, type: PAGER, FAILED
644 100 000 => valid, type: PAGER, FAILED
644 200 000 => valid, type: PAGER, FAILED
644 300 000 => valid, type: PAGER, FAILED
644 400 000 => valid, type: PAGER, FAILED
644 500 000 => valid, type: PAGER, FAILED
644 600 000 => valid, type: PAGER, FAILED
644 700 000 => valid, type: PAGER, FAILED
644 800 000 => valid, type: PAGER, FAILED
644 900 000 => valid, type: PAGER, FAILED
645 000 000 => valid, type: PAGER, FAILED
645 100 000 => valid, type: PAGER, FAILED
645 200 000 => valid, type: PAGER, FAILED
645 300 000 => valid, type: PAGER, FAILED
645 400 000 => valid, type: PAGER, FAILED
645 500 000 => valid, type: PAGER, FAILED
645 600 000 => valid, type: PAGER, FAILED
645 700 000 => valid, type: PAGER, FAILED
645 800 000 => valid, type: PAGER, FAILED
645 900 000 => valid, type: PAGER, FAILED
646 000 000 => valid, type: PAGER, FAILED
646 100 000 => valid, type: PAGER, FAILED
646 200 000 => valid, type: PAGER, FAILED
646 300 000 => valid, type: PAGER, FAILED
646 400 000 => valid, type: PAGER, FAILED
646 500 000 => valid, type: PAGER, FAILED
646 600 000 => valid, type: PAGER, FAILED
646 700 000 => valid, type: PAGER, FAILED
646 800 000 => valid, type: PAGER, FAILED
646 900 000 => valid, type: PAGER, FAILED
647 000 000 => valid, type: PAGER, FAILED
647 100 000 => valid, type: PAGER, FAILED
647 200 000 => valid, type: PAGER, FAILED
647 300 000 => valid, type: PAGER, FAILED
647 400 000 => valid, type: PAGER, FAILED
647 500 000 => valid, type: PAGER, FAILED
647 600 000 => valid, type: PAGER, FAILED
647 700 000 => valid, type: PAGER, FAILED
647 800 000 => valid, type: PAGER, FAILED
647 900 000 => valid, type: PAGER, FAILED
648 000 000 => valid, type: PAGER, FAILED
648 100 000 => valid, type: PAGER, FAILED
648 200 000 => valid, type: PAGER, FAILED
648 300 000 => valid, type: PAGER, FAILED
648 400 000 => valid, type: PAGER, FAILED
648 500 000 => valid, type: PAGER, FAILED
648 600 000 => valid, type: PAGER, FAILED
648 700 000 => valid, type: PAGER, FAILED
648 800 000 => valid, type: PAGER, FAILED
648 900 000 => valid, type: PAGER, FAILED
649 000 000 => valid, type: PAGER, FAILED
649 100 000 => valid, type: PAGER, FAILED
649 200 000 => valid, type: PAGER, FAILED
649 300 000 => valid, type: PAGER, FAILED
649 400 000 => valid, type: PAGER, FAILED
649 500 000 => valid, type: PAGER, FAILED
649 600 000 => valid, type: PAGER, FAILED
649 700 000 => valid, type: PAGER, FAILED
649 800 000 => valid, type: PAGER, FAILED
